Title,Description,Address,Price,Feature,Date_Info
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Orchid Lekki Lagos,"₦ 6,000,000/year",2 Beds,"Updated 21 Jun 2026, Added 09 Nov 2025"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,Greenville Estates Badore Ajah Lagos Badore Ajah Lagos,"₦ 1,500,000/year",,"Updated 23 Jun 2026, Added 18 May 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Seaside Estates Badore Ajah Lagos Badore Ajah Lagos,"₦ 2,000,000/year",,"Updated 23 Jun 2026, Added 18 May 2026"
2 Bedroom Bungalow,2 Bedroom Bungalow/Flat Apartment FOR Rent,Vina Call/code To Access Estates Badore Ajah Badore Ajah Lagos,"₦ 3,500,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 11 May 2026"
Spacious Room And Palor,Spacious Room And Palor/Flat Apartment FOR Rent,Chevron Lekki Lagos,"₦ 4,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
Large Single Room Upstairs,Large Single Room Upstairs/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 2,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
Newly Furnished/serviced 3 Bedroom Apartment For Rent,Newly Furnished/serviced 3 Bedroom Apartment For Rent/Flat / Apartment FOR RENT,Jahi Abuja,"₦ 25,000,000/year",3 Beds 3 Baths,"Updated 17 Jun 2026, Added 20 Feb 2026"
Extra Large Furnished Master's Room,Extra Large Furnished Master's Room/Flat Apartment FOR Rent,Ikota Lekki Lagos,"₦ 1,050,000/month",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
Single Room,Single Room/Flat Apartment FOR Rent,Ikota Lekki Lagos,"₦ 1,350,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 25 Mar 2026"
Large Master's Bedroom,Large Master's Bedroom/Flat Apartment FOR Rent,Ikota Lekki Lagos,"₦ 3,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
Large Studio Apartment With Private Kitchen,Large Studio Apartment With Private Kitchen/Flat Apartment FOR Rent,South Drift Estate Mobil Road Ajah Lagos,"₦ 1,650,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
"Extra Large Master, Balcony,jaccuzi, Closet","Extra Large Master, Balcony,jaccuzi, Closet/Flat Apartment FOR Rent",Orchid Lekki Lagos,"₦ 3,500,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 02 Jun 2026"
"Large Miniflat, Large Palor,large Room, 20hrs Powr","Large Miniflat, Large Palor,large Room, 20hrs Powr/Flat Apartment FOR Rent",Victoria Crest 2 Orchid Lekki Lagos,"₦ 2,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 02 Jun 2026"
"Extra Large Studio With 20hrs Powr, Private Kitchen","Extra Large Studio With 20hrs Powr, Private Kitchen/Flat Apartment FOR Rent",Royal Pine Orchid Lekki Lagos,"₦ 4,000,000/year",1 Beds,"Updated 23 Jun 2026, Added 02 Jun 2026"
Large Single Room With 20hrs Powr,Large Single Room With 20hrs Powr/Flat Apartment FOR Rent,Oral Estate Lekki Lagos,"₦ 1,600,000",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 02 Jun 2026"
Bq For Rent,Bq For Rent/Flat Apartment FOR Rent,Oral Estate Lekki Lagos,₦ 600/year,,"Updated 23 Jun 2026, Added 02 Jun 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat / Apartment FOR RENT,Banana Island Ikoyi Lagos,"₦ 50,000,000/year",3 Beds 3 Baths,"Updated 22 Jun 2026, Added 18 May 2026"
Large Studio Apartment,Large Studio Apartment/Flat Apartment FOR Rent,Orchid Lekki Lagos,"₦ 2,800,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
Luxury Fully Furnished 2 Bedroom Apartment,Luxury Fully Furnished 2 Bedroom Apartment/Flat Apartment FOR Rent,Ikoyi Lagos,"₦ 40,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
Luxury 2 Bedroom Apartment Around Lakowe Golf,Luxury 2 Bedroom Apartment Around Lakowe Golf/Flat Apartment FOR Rent,Lakowe Ajah Lagos,"₦ 3,000,000",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 10 Jun 2026"
Single Room Upstairs In Ikate Lakki Lagos,Single Room Upstairs In Ikate Lakki Lagos/Flat Apartment FOR Rent,Ikate Ikate Lekki Lagos,"₦ 2,500,000/year",,"Updated 23 Jun 2026, Added 08 Jun 2026"
Spacious Studio Apartment With Open Plan Kitchen,Spacious Studio Apartment With Open Plan Kitchen/Flat Apartment FOR Rent,Agungi Agungi Lekki Lagos,"₦ 3,500,000",,"Updated 23 Jun 2026, Added 08 Jun 2026"
2bedroon Flat In Ikate Lekki Phase 1,2bedroon Flat In Ikate Lekki Phase 1/Flat Apartment FOR Rent,Ikate Ikate Lekki Lagos,"₦ 7,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 08 Jun 2026"
Massive 3bedroom With Daning Table,Massive 3bedroom With Daning Table/Flat Apartment FOR Rent,River Valley Estate Berger Ojodu Lagos,"₦ 6,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 05 Jun 2026"
Studio,Studio/Flat Apartment FOR Rent,Oral Estate Lekki Lagos,"₦ 3,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 25 Mar 2026"
Extra Large Studio Wth Private Kitchen. 10 Months,Extra Large Studio Wth Private Kitchen. 10 Months/Flat Apartment FOR Rent,Oral Estate Lekki Lagos,"₦ 3,200,000/year",,"Updated 23 Jun 2026, Added 02 Jun 2026"
Large Single Room Upstairs 20hrs Powr,Large Single Room Upstairs 20hrs Powr/Flat Apartment FOR Rent,Oral Estate Lekki Lagos,"₦ 2,100,000/year",,"Updated 23 Jun 2026, Added 02 Jun 2026"
Large Studio Eith Private Kitchen For 9 Months,Large Studio Eith Private Kitchen For 9 Months/Flat Apartment FOR Rent,Orchid Lekki Lagos,"₦ 2,600,000/year",,"Updated 23 Jun 2026, Added 02 Jun 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat / Apartment FOR RENT,Banana Island Ikoyi Lagos,"₦ 50,000,000/year",3 Beds 3 Baths,"Updated 22 Jun 2026, Added 18 May 2026"
"Large Studio With Private Kitchen, 20hrs Powr","Large Studio With Private Kitchen, 20hrs Powr/Flat Apartment FOR Rent",Orchid Lekki Lagos,"₦ 2,800,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 05 Jun 2026"
Large Single Room Upstairs For 9 Months,Large Single Room Upstairs For 9 Months/Flat Apartment FOR Rent,Orchid Lekki Lagos,"₦ 1,400,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 05 Jun 2026"
Newly Built Spacious Executive Mini Flat,Newly Built Spacious Executive Mini Flat/Flat Apartment FOR Rent,Ogudu Gra Ogudu Lagos,"₦ 6,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 12 Jun 2026"
Newly Built 3 Bedroom Apartment,Newly Built 3 Bedroom Apartment/Flat Apartment FOR Rent,"Jahi Gilmore, Abuja Jahi Abuja","₦ 12,000,000/year",3 Beds 4 Baths,"Updated 23 Jun 2026, Added 08 Apr 2026"
Furnished 2 Bedroom Apartment,Furnished 2 Bedroom Apartment/Flat Apartment FOR Rent,Ologolo Lekki Lagos,"₦ 8,000,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 09 Mar 2026"
Standard Miniflat,Standard Miniflat/Flat Apartment FOR Rent,Akoka Yaba Lagos,"₦ 2,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 08 May 2026"
A Spacious Miniflat,A Spacious Miniflat/Flat Apartment FOR Rent,"Akoka, Yaba Lagos","₦ 2,200,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 08 May 2026"
Standard Room Self Contain Apartment,Standard Room Self Contain Apartment/Flat Apartment FOR Rent,"Akoka, Yaba Lagos","₦ 1,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 08 May 2026"
Furnished 2 Bedroom Apartment,Furnished 2 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 17,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 12 May 2026"
3 Bedroom Duplex,3 Bedroom Duplex/House FOR SHORTLET,Ikolaba Ibadan Oyo,"₦ 250,000/day",3 Beds 3 Baths,"Updated 21 Jun 2026, Added 08 Nov 2025"
Standard Roomself Contain,Standard Roomself Contain/Flat Apartment FOR Rent,Off Apata Street Shomolu Lagos,"₦ 1,200,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 08 May 2026"
Standard 3 Bedroom Flat,Standard 3 Bedroom Flat/Flat Apartment FOR Rent,"No. 13, Olabisi Osho Street, Off Deeper Life Church, Close To Medina Estate, Gbagada Lagos","₦ 145,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 15 May 2026"
A Standard And Newly Built Roomself Contain,A Standard And Newly Built Roomself Contain/Flat Apartment FOR Rent,"Akoka, Yaba, Lagos Yaba Lagos","₦ 1,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 23 May 2026"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,"Abule Ijesha, Yaba, Lagos Yaba Lagos","₦ 2,200,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
2 Bedroom Furnished Apartment For Rent In Ologolo,2 Bedroom Furnished Apartment For Rent In Ologolo/Flat Apartment FOR Rent,Ologolo Lekki Lagos,"₦ 11,000,000",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 17 Jun 2026"
Newly Built 2 Bedroom Apartment,Newly Built 2 Bedroom Apartment/Flat Apartment FOR Rent,Ologolo Lekki Lagos,"₦ 9,000,000",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 16 Jun 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Ologolo Lekki Lagos,"₦ 7,000,000",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 16 Jun 2026"
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 22,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 04 May 2026"
Furnished 2 Bedroom Apartment,Furnished 2 Bedroom Apartment/Flat Apartment FOR Rent,Ikate Lekki Lagos,"₦ 15,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 05 May 2026"
Spacious 2 Bedroom Apartment,Spacious 2 Bedroom Apartment/Flat Apartment FOR Rent,Chevron Lekki Lagos,"₦ 6,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 22 Apr 2026"
"3 Bedroom Flat For Rent In Lekki Phase 1, Lagos","3 Bedroom Flat For Rent In Lekki Phase 1, Lagos/Flat Apartment FOR Rent",Lekki Phase 1 Lekki Lagos,"₦ 17,000,000",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 02 Jun 2026"
Luxury 3 Bedroom Apartment + Bq,Luxury 3 Bedroom Apartment + Bq/Flat / Apartment FOR RENT,Banana Island Ikoyi Lagos,"₦ 40,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 17 Mar 2026"
3 Bedroom Flat For Rent In Lekki Phase 1,3 Bedroom Flat For Rent In Lekki Phase 1/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 14,000,000",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 02 Jun 2026"
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Ikate Lekki Lagos,"₦ 12,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 23 Mar 2026"
Block Of 12 Units (3 Bedroom Apartments + Bq),Block Of 12 Units (3 Bedroom Apartments + Bq)/Flat Apartment FOR Rent,Ikoyi Bourdillon Ikoyi Lagos,"₦ 240,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 25 Mar 2026"
2 Bedroom Fully Furnished Apartment,2 Bedroom Fully Furnished Apartment/Flat Apartment FOR Rent,Ikate Lekki Lagos,"₦ 12,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 09 Apr 2026"
Deluxe 1 Bedroom Flat,Deluxe 1 Bedroom Flat/Flat Apartment FOR Rent,Agungi Lekki Lagos,"₦ 3,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 08 Feb 2026"
Shared Apartment,Shared Apartment/Flat Apartment FOR Rent,Ikate Lekki Lagos,"₦ 2,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 30 Apr 2026"
"To Let – 2 Bedroom Apartment In Ikate, Lekki","To Let – 2 Bedroom Apartment In Ikate, Lekki/Flat Apartment FOR Rent",Ikate Lekki Lagos,"₦ 7,000,000",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 11 Jun 2026"
A Standard Roomself Contain,A Standard Roomself Contain/Flat Apartment FOR Rent,"Ilupeju, Lagos Ilupeju Lagos","₦ 1,200,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 28 May 2026"
Room Self Contain,Room Self Contain/Flat Apartment FOR Rent,Gwarinpa Gwarinpa Abuja,"₦ 1,800,000/year",,"Updated 23 Jun 2026, Added 20 Apr 2026"
The Stylish 3 Bedroom Bungalow With Bq,The Stylish 3 Bedroom Bungalow With Bq/House FOR SALE,Akure Ondo,"₦ 50,000,000",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 29 Mar 2026"
Room In A Shared Apartment,Room In A Shared Apartment/Flat Apartment FOR Rent,Unity Estate Awoyaya Ajah Lagos,"₦ 650,000/year",,"Updated 23 Jun 2026, Added 14 Oct 2025"
Well Finished 2bedroom Apartment,Well Finished 2bedroom Apartment/Flat Apartment FOR Rent,In An Estate Gwarinpa Extension Gwarinpa Abuja,"₦ 3,500,000",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 20 Jun 2026"
Fully Furnished 2 Bedroom Apartment,Fully Furnished 2 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 25,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 31 Mar 2026"
Beautiful Studio Self Contain,Beautiful Studio Self Contain/Flat Apartment FOR Rent,Gwarinpa Gwarinpa Abuja,"₦ 1,500,000/year",,"Updated 23 Jun 2026, Added 04 Jun 2026"
A Spacious 3bed Apartment,A Spacious 3bed Apartment/Flat Apartment FOR Rent,"Off Shipeolu Street, Shomolu, Lagos Shomolu Lagos","₦ 4,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 01 Jun 2026"
A Standard Mini Flat,A Standard Mini Flat/Flat Apartment FOR Rent,"Off Estate Road, Alapere, Ketu Lagos","₦ 2,300,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 22 May 2026"
Magnificently Furnished 1 Bedroom Flat,Magnificently Furnished 1 Bedroom Flat/Flat Apartment FOR Rent,Area 11 Garki 2 Abuja,"₦ 5,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 19 May 2026"
1 Room In A Shared Apartment,1 Room In A Shared Apartment/Flat Apartment FOR Rent,"Boss Man, Dpk Road 2 Estate, Orchid Lekki Lagos","₦ 1,300,000/year",,"Updated 23 Jun 2026, Added 24 Aug 2025"
1 Bedroom Mini Flat,1 Bedroom Mini Flat/Flat Apartment FOR Rent,Osapa London Lekki Lagos,"₦ 4,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
Shared Apartment,Shared Apartment/Flat Apartment FOR Rent,Peace Estate Badore Ajah Lagos,"₦ 700,000/year",,"Updated 23 Jun 2026, Added 25 Sep 2025"
2 Bedroom Apartment Fully Furnished,2 Bedroom Apartment Fully Furnished/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 20,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 03 Apr 2026"
2bedroom Apartment,2bedroom Apartment/Flat / Apartment FOR RENT,Ikate Lekki Lagos,"₦ 9,000,000",2 Beds 2 Baths,"Updated 22 Jun 2026, Added 06 Jun 2026"
"Standard 1 Bedroom Miniflat,kitchen,water 22 24hrs Powr","Standard 1 Bedroom Miniflat,kitchen,water 22 24hrs Powr/Flat Apartment FOR Rent",Ikota Lekki Lagos,"₦ 4,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 14 Jun 2026"
Super Spacious Mini Flat,Super Spacious Mini Flat/Flat Apartment FOR Rent,Soluyi Gbagada Lagos Lagos Soluyi Gbagada Lagos,"₦ 2,700,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 20 Jun 2026"
Well Maintained Mini Flat,Well Maintained Mini Flat/Flat Apartment FOR Rent,"Off Off Pedro Road, Shomolu, Lagos Shomolu Shomolu Lagos","₦ 2,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 22 Jun 2026"
A Neatly Renovated And Standard Roomself Con,A Neatly Renovated And Standard Roomself Con/Flat Apartment FOR Rent,"Akoka, Yaba, Lagos Akoka Yaba Lagos","₦ 1,200,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 09 Jun 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Rent,Katampe Main Abuja,"₦ 8,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 24 May 2026"
Standard 3 Bedroom Flat With Bq,Standard 3 Bedroom Flat With Bq/Flat Apartment FOR Rent,Wuse 2 Abuja,"₦ 13,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 29 Apr 2026"
Studio Apartment,Studio Apartment/Flat Apartment FOR Rent,6th Avenue Gwarinpa Abuja,"₦ 1,600,000/year",1 Baths,"Updated 23 Jun 2026, Added 23 Dec 2025"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,Badore Ajah Lagos,"₦ 1,400,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 05 Jun 2026"
Studio Apartment,Studio Apartment/Flat Apartment FOR Rent,Lekki Conservation Centre Lekki Lagos,"₦ 3,000,000/year",,"Updated 23 Jun 2026, Added 26 Feb 2026"
A Functional School In A Good Location,A Functional School In A Good Location/Commercial Property FOR SALE,Peregun Alawo Akala Express Ibadan Oyo,"₦ 60,000,000",,"Updated 21 Jun 2026, Added 23 Mar 2026"
Standard Miniflat,Standard Miniflat/Flat Apartment FOR Rent,Ebute Metta East Yaba Lagos,"₦ 2,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 19 May 2026"
1 Bedroom Flat,1 Bedroom Flat/Flat Apartment FOR Rent,Off Glover Road Bourdillon Ikoyi Lagos,"₦ 15,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 08 Apr 2026"
Shared Apartment,Shared Apartment/Flat Apartment FOR Rent,Seaside Estate Badore Ajah Lagos,"₦ 800,000/year",,"Updated 23 Jun 2026, Added 18 Aug 2025"
1 Room Shared Apartment,1 Room Shared Apartment/Flat Apartment FOR Rent,"West End Estate, Lekki County Ikota Lekki Lagos","₦ 1,500,000/year",,"Updated 23 Jun 2026, Added 24 Dec 2025"
1 Bedroom Apartment,1 Bedroom Apartment/Flat Apartment FOR Rent,Ilasan Ikate Lekki Ilasan Lekki Lagos,"₦ 4,000,000/year",,"Updated 23 Jun 2026, Added 18 Mar 2026"
"3 Bedroom Flat For Rent In Chevron Toll Gate, Lekki","3 Bedroom Flat For Rent In Chevron Toll Gate, Lekki/Flat Apartment FOR Rent",Chevron Toll Gate Lekki Lagos,"₦ 7,000,000",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 08 Jun 2026"
Luxurious Self Contained In A Shared Apartment,Luxurious Self Contained In A Shared Apartment/Flat Apartment FOR Rent,Royal Pine Orchid Lekki Lagos,"₦ 1,200,000/year",,"Updated 23 Jun 2026, Added 16 Jan 2026"
Newly Built And Spacious Studio Apartment,Newly Built And Spacious Studio Apartment/Flat Apartment FOR Rent,"Off Williams Street, By Gtbank Gbagada Lagos","₦ 1,300,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 08 May 2026"
Self Contain Apartment,Self Contain Apartment/Flat Apartment FOR Rent,Wuse 1 Abuja,"₦ 2,000,000/year",,"Updated 23 Jun 2026, Added 14 May 2026"
3 Bedroom Service Apartment,3 Bedroom Service Apartment/Flat Apartment FOR Rent,Freedom Way Lekki Lagos,"₦ 20,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 13 Apr 2026"
A Standard Miniflat,A Standard Miniflat/Flat Apartment FOR Rent,"Ogudu Gra, Kosofe, Lagos Kosofe Ikosi Lagos","₦ 3,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 23 May 2026"
Premium 3 Bedroom Furnished Apartment (ocean View),Premium 3 Bedroom Furnished Apartment (ocean View)/Flat / Apartment FOR RENT,Eko Atlantic City Victoria Island Lagos,"₦ 84,000,000/year",3 Beds 3 Baths,"Updated 21 Jun 2026, Added 16 Jun 2026"
"1 Bedroom Miniflat,kitchen,water 22 24hrs Powr","1 Bedroom Miniflat,kitchen,water 22 24hrs Powr/Flat Apartment FOR Rent",Ikota Lekki Lagos,"₦ 5,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
Room Self Contained,Room Self Contained/Flat Apartment FOR Rent,Chevron Lekki Lagos,"₦ 2,500,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 24 Apr 2026"
2/3 Bedroom Apartment,2/3 Bedroom Apartment/Flat Apartment FOR Rent,Lekki Phase 1 Lekki Lagos,"₦ 30,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 31 Mar 2026"
Spacious Studio Apartment In Bera Estate Chevron Drive,Spacious Studio Apartment In Bera Estate Chevron Drive/Flat Apartment FOR Rent,Bera Estate Chevron Drive Lekki Lagos,"₦ 3,500,000/year",,"Updated 23 Jun 2026, Added 08 Jun 2026"
Single Bedroom In Shared Apartment,Single Bedroom In Shared Apartment/Flat Apartment FOR Rent,Ikota Lekki Lagos,"₦ 1,600,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 29 Mar 2026"
Sweet Mini Flat,Sweet Mini Flat/Flat Apartment FOR Rent,New Garage Gbagada Lagos New Garage Gbagada Lagos,"₦ 1,800,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 22 Jun 2026"
Mini Flat,Mini Flat/Flat Apartment FOR Rent,Eleganza Gardens At Vgc Bus Stop Lekki Lagos,"₦ 3,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 18 Apr 2026"
2 Bedroom Apartment 2 People To Share Kitchen,2 Bedroom Apartment 2 People To Share Kitchen/Flat Apartment FOR Rent,Oral Extension Oral Estate Lekki Lagos,"₦ 4,600,000",,"Updated 23 Jun 2026, Added 15 Jun 2026"
Room Self Contained,Room Self Contained/Flat Apartment FOR Rent,Naf Valley Estate Asokoro Abuja,"₦ 2,500,000/year",,"Updated 23 Jun 2026, Added 23 Apr 2026"
5 Bedroom Fully Detached Duplex,5 Bedroom Fully Detached Duplex/House FOR SALE,Alpha Beach Road Lekki Lagos,"₦ 550,000,000",5 Beds 5 Baths,"Updated 21 Jun 2026, Added 15 May 2026"
1 Bedroom Flat,1 Bedroom Flat/Flat Apartment FOR Rent,Naf Valley Estate Asokoro Asokoro Abuja,"₦ 5,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 07 May 2026"
Spacious Shared Apartment Two Share Toilet,Spacious Shared Apartment Two Share Toilet/Flat Apartment FOR Rent,Goodness Okeira Nla Ado Road Ajah Lagos Ado Road Ajah Lagos,"₦ 450,000",,"Updated 23 Jun 2026, Added 19 Jun 2026"
2 Bedroom Apartment,2 Bedroom Apartment/Flat Apartment FOR Rent,Abijo Ajah Lagos,"₦ 2,200,000/year",2 Beds 3 Baths,"Updated 23 Jun 2026, Added 19 Feb 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Close To Stella Maris Life Camp Abuja,"₦ 4,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 17 May 2026"
Selfcon,Selfcon/Flat Apartment FOR Rent,Unity Estate Badore Badore Ajah Lagos,"₦ 600,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 17 Jun 2026"
A Room In Secured Building,A Room In Secured Building/Flat Apartment FOR Rent,Chevron Lekki Lagos,"₦ 2,000,000",,"Updated 23 Jun 2026, Added 13 Jun 2026"
Spacious Self Contain,Spacious Self Contain/Flat Apartment FOR Rent,Gwarinpa Gwarinpa Abuja,"₦ 1,600,000/year",,"Updated 23 Jun 2026, Added 03 Jun 2026"
Studio Apartment,Studio Apartment/Flat Apartment FOR Rent,Lekki Phase One Lekki Phase 1 Lekki Lagos,"₦ 7,000,000/year",,"Updated 23 Jun 2026, Added 18 Mar 2026"
A Standard Miniflat,A Standard Miniflat/Flat Apartment FOR Rent,"Off Shipeolu Street, Shomolu Shomolu Lagos","₦ 2,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 01 Jun 2026"
2 Bedroom Flat,2 Bedroom Flat/Flat Apartment FOR Rent,Ogidan Sangotedo Ajah Lagos,"₦ 3,000,000/year",,"Updated 23 Jun 2026, Added 25 Sep 2025"
3 Bedroom Flat,3 Bedroom Flat/Flat Apartment FOR Rent,Guzape Guzape Abuja,"₦ 10,000,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 20 Apr 2026"
3 Bedroom Flat,3 Bedroom Flat/Flat / Apartment FOR RENT,Banana Island Ikoyi Lagos,"₦ 50,000,000/year",3 Beds 3 Baths,"Updated 22 Jun 2026, Added 18 May 2026"
Spacious 3bedroom Flat In Idado Lekki 1,Spacious 3bedroom Flat In Idado Lekki 1/Flat Apartment FOR Rent,Idado Estate Idado Lekki Lagos,"₦ 6,500,000/year",3 Beds 3 Baths,"Updated 23 Jun 2026, Added 08 Jun 2026"
Clean Mini Flat,Clean Mini Flat/Flat Apartment FOR Rent,Alagomeji Yaba Lagos Alagomeji Yaba Lagos,"₦ 2,000,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 23 Jun 2026"
Standard 2bedroom Flat Apartment,Standard 2bedroom Flat Apartment/Flat Apartment FOR Rent,Orchid Road Lekki Orchid Lekki Lagos,"₦ 5,500,000",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 29 May 2026"
5 Bedroom Fully Detached Duplex With A Room Bq,5 Bedroom Fully Detached Duplex With A Room Bq/Flat Apartment FOR Rent,"Omole Phase 2, Lagos Kosofe Ikosi Lagos","₦ 20,000,000/year",6 Beds 6 Baths,"Updated 23 Jun 2026, Added 22 Jun 2026"
Newly Built 2 Bedroom Flat,Newly Built 2 Bedroom Flat/Flat Apartment FOR Rent,Area 1 By Old Secretariat Garki 1 Abuja,"₦ 6,000,000/year",2 Beds 2 Baths,"Updated 23 Jun 2026, Added 18 May 2026"
"Large Master Jaccuzi, Balcony,20hrs Powr, Swimming Pool","Large Master Jaccuzi, Balcony,20hrs Powr, Swimming Pool/Flat Apartment FOR Rent",Orchid Lekki Lagos,"₦ 2,800,000/year",1 Beds 1 Baths,"Updated 23 Jun 2026, Added 02 Jun 2026"
